station_id,station_name,start_trip_count,end_trip_count,trip_imbalance
3186,Grove St PATH,28736,38295,-9559
3183,Exchange Place,19014,22236,-3222
3194,McGinley Square,7274,5451,1823
3195,Sip Ave,17137,15881,1256
3270,Jersey & 6th St,3847,2635,1212
3209,Brunswick St,9573,8450,1123
3206,Hilltop,2593,1597,996
3213,Van Vorst Park,8579,7658,921
3207,Oakland Ave,3979,3124,855
3225,Baldwin at Montgomery,4529,3692,837
3211,Newark Ave,9168,8354,814
3193,Lincoln Park,3184,3875,-691
3278,Monmouth and 6th,3393,2722,671
3267,Morris Canal,5948,5337,611
3279,Dixon Mills,2738,2187,551
3214,Essex Light Rail,9462,9959,-497
3272,Jersey & 3rd,3395,2898,497
3220,5 Corners Library,2729,2248,481
3212,Christ Hospital,2366,1896,470
3215,Central Ave,2234,1865,369
3192,Liberty Light Rail,6578,6932,-354
3196,Riverview Park,1774,1424,350
3273,Manila & 1st,1765,1435,330
3191,Union St,356,656,-300
3276,Marin Light Rail,4163,3926,237
3185,City Hall,7791,8013,-222
3197,North St,1664,1446,218
3275,Columbus Drive,2770,2573,197
3201,Dey St,2191,2382,-191
3210,Pershing Field,3313,3128,185
3202,Newport PATH,13363,13533,-170
3198,Heights Elevator,1793,1640,153
3205,JC Medical Center,4687,4826,-139
3281,Leonard Gordon Park,558,421,137
3189,West Side Light Rail,240,373,-133
3187,Warren St,8344,8226,118
3203,Hamilton Park,15300,15418,-118
3199,Newport Pkwy,9031,8935,96
3217,Bayside Park,345,252,93
3269,Brunswick & 6th,859,780,79
3190,Garfield Ave Station,924,857,67
3184,Paulus Hook,7807,7865,-58
3216,Columbia Park,192,237,-45
3188,NJCU,519,484,35
3280,Astor Place,177,154,23
3268,Lafayette Park,835,848,-13
327,Vesey Pl & River Terrace,0,11,-11
173,Broadway & W 49 St,0,10,-10
3200,MLK Light Rail,243,234,9
3277,Communipaw & Berry Lane,34,26,8
225,W 14 St & The High Line,0,6,-6
514,12 Ave & W 40 St,0,5,-5
3002,South End Ave & Liberty St,0,5,-5
276,Duane St & Greenwich St,0,4,-4
358,Christopher St & Greenwich St,0,4,-4
3426,JCBS Depot,1,5,-4
249,Harrison St & Hudson St,0,3,-3
295,Pike St & E Broadway,0,3,-3
304,Broadway & Battery Pl,0,3,-3
329,Greenwich St & North Moore St,0,3,-3
403,E 2 St & 2 Ave,0,3,-3
405,Washington St & Gansevoort St,0,3,-3
498,Broadway & W 32 St,0,3,-3
3331,Riverside Dr & W 104 St,0,3,-3
347,Greenwich St & W Houston St,0,2,-2
363,West Thames St,0,2,-2
376,John St & William St,0,2,-2
457,Broadway & W 58 St,0,2,-2
3271,Danforth Light Rail,60,58,2
147,Greenwich St & Warren St,0,1,-1
224,Spruce St & Nassau St,0,1,-1
252,MacDougal St & Washington Sq,0,1,-1
284,Greenwich Ave & 8 Ave,0,1,-1
315,South St & Gouverneur Ln,0,1,-1
328,Watts St & Greenwich St,0,1,-1
351,Front St & Maiden Ln,0,1,-1
359,E 47 St & Park Ave,0,1,-1
360,William St & Pine St,0,1,-1
380,W 4 St & 7 Ave S,0,1,-1
386,Centre St & Worth St,0,1,-1
390,Duffield St & Willoughby St,0,1,-1
393,E 5 St & Avenue C,0,1,-1
401,Allen St & Rivington St,0,1,-1
426,West St & Chambers St,0,1,-1
427,Bus Slip & State St,0,1,-1
428,E 3 St & 1 Ave,0,1,-1
430,York St & Jay St,0,1,-1
446,W 24 St & 7 Ave,0,1,-1
477,W 41 St & 8 Ave,0,1,-1
484,W 44 St & 5 Ave,0,1,-1
501,FDR Drive & E 35 St,0,1,-1
505,6 Ave & W 33 St,0,1,-1
520,W 52 St & 5 Ave,0,1,-1
534,Water - Whitehall Plaza,0,1,-1
2004,6 Ave & Broome St,0,1,-1
2008,Little West St & 1 Pl,0,1,-1
3085,Roebling St & N 4 St,0,1,-1
3169,Riverside Dr & W 82 St,0,1,-1
3178,Riverside Dr & W 78 St,0,1,-1
3265,E 2 St & 2 Ave E,0,1,-1
3274,Bethune Center,29,28,1
3314,W 95 St & Broadway,0,1,-1
